"ID_SAEB","ID_REGIAO","ID_UF","ID_MUNICIPIO","ID_AREA","ID_ESCOLA","IN_PUBLICA","ID_LOCALIZACAO","ID_TURMA","ID_SERIE","ID_ALUNO","IN_SITUACAO_CENSO","IN_PREENCHIMENTO_LP","IN_PREENCHIMENTO_MT","IN_PRESENCA_LP","IN_PRESENCA_MT","ID_CADERNO_LP","ID_BLOCO_1_LP","ID_BLOCO_2_LP","ID_CADERNO_MT","ID_BLOCO_1_MT","ID_BLOCO_2_MT","TX_RESP_BLOCO1_LP","TX_RESP_BLOCO2_LP","TX_RESP_BLOCO1_MT","TX_RESP_BLOCO2_MT","IN_PROFICIENCIA_LP","IN_PROFICIENCIA_MT","IN_AMOSTRA","ESTRATO","PESO_ALUNO_LP","PROFICIENCIA_LP","ERRO_PADRAO_LP","PROFICIENCIA_LP_SAEB","ERRO_PADRAO_LP_SAEB","PESO_ALUNO_MT","PROFICIENCIA_MT","ERRO_PADRAO_MT","PROFICIENCIA_MT_SAEB","ERRO_PADRAO_MT_SAEB","IN_PREENCHIMENTO_QUESTIONARIO","IN_INSE","INSE_ALUNO","NU_TIPO_NIVEL_INSE","PESO_ALUNO_INSE","TX_RESP_Q01","TX_RESP_Q02","TX_RESP_Q03","TX_RESP_Q04","TX_RESP_Q05a","TX_RESP_Q05b","TX_RESP_Q05c","TX_RESP_Q06","TX_RESP_Q07a","TX_RESP_Q07b","TX_RESP_Q07c","TX_RESP_Q07d","TX_RESP_Q07e","TX_RESP_Q08","TX_RESP_Q09","TX_RESP_Q10a","TX_RESP_Q10b","TX_RESP_Q10c","TX_RESP_Q10d","TX_RESP_Q10e","TX_RESP_Q10f","TX_RESP_Q11a","TX_RESP_Q11b","TX_RESP_Q11c","TX_RESP_Q12a","TX_RESP_Q12b","TX_RESP_Q12c","TX_RESP_Q12d","TX_RESP_Q12e","TX_RESP_Q12f","TX_RESP_Q12g","TX_RESP_Q13a","TX_RESP_Q13b","TX_RESP_Q13c","TX_RESP_Q13d","TX_RESP_Q13e","TX_RESP_Q13f","TX_RESP_Q13g","TX_RESP_Q13h","TX_RESP_Q13i","TX_RESP_Q14","TX_RESP_Q15a","TX_RESP_Q15b","TX_RESP_Q16","TX_RESP_Q17","TX_RESP_Q18","TX_RESP_Q19","TX_RESP_Q20","TX_RESP_Q21a","TX_RESP_Q21b","TX_RESP_Q21c","TX_RESP_Q21d","TX_RESP_Q21e","TX_RESP_Q22a","TX_RESP_Q22b","TX_RESP_Q22c","TX_RESP_Q22d","TX_RESP_Q22e","TX_RESP_Q22f","TX_RESP_Q22g","TX_RESP_Q22h","TX_RESP_Q23a","TX_RESP_Q23b","TX_RESP_Q23c","TX_RESP_Q23d","TX_RESP_Q23e","TX_RESP_Q23f","TX_RESP_Q23g","TX_RESP_Q23h","TX_RESP_Q23i","TX_RESP_Q24","TX_RESP_Q25","TX_RESP_Q10a_num","TX_RESP_Q10b_num","TX_RESP_Q10c_num","TX_RESP_Q10d_num","TX_RESP_Q10e_num","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q21b_num","TX_RESP_Q21c_num","TX_RESP_Q21d_num","TX_RESP_Q21e_num","TX_RESP_Q22a_num","TX_RESP_Q22b_num","TX_RESP_Q22c_num","TX_RESP_Q22d_num","TX_RESP_Q22e_num","TX_RESP_Q22f_num","TX_RESP_Q22g_num","TX_RESP_Q22h_num","TX_RESP_Q23a_num","TX_RESP_Q23b_num","TX_RESP_Q23c_num","TX_RESP_Q23d_num","TX_RESP_Q23e_num","TX_RESP_Q23f_num","TX_RESP_Q23g_num","TX_RESP_Q23h_num","TX_RESP_Q23i_num","TX_RESP_Q19_num","TX_RESP_Q20_num","Q01_masculino","Q01_feminino","Q04_Branca","Q04_Preta","Q04_Parda","Q04_Amarela","Q04_Indigena"
2023,3,31,6325120,2,61432948,1,1,1502167,13,52144768,1,0,0,0,0,7,7,1,7,7,1,".............",".............",".............",".............",0,0,0,"63251201113",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6325120,2,61432948,1,1,1502167,13,52144769,1,0,0,0,0,6,6,7,6,6,7,".............",".............",".............",".............",0,0,0,"63251201113",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6325120,2,61432948,1,1,1502167,13,52144770,1,0,0,0,0,20,6,2,20,6,2,".............",".............",".............",".............",0,0,0,"63251201113",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6325120,2,61432948,1,1,1502167,13,52145095,1,0,0,0,0,10,3,5,10,3,5,".............",".............",".............",".............",0,0,0,"63251201113",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6325120,2,61432948,1,1,1502167,13,52145096,1,0,0,0,0,4,4,5,4,4,5,".............",".............",".............",".............",0,0,0,"63251201113",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6325120,2,61432948,1,1,1502167,13,52145097,1,0,0,0,0,2,2,3,2,2,3,".............",".............",".............",".............",0,0,0,"63251201113",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6325120,2,61432948,1,1,1502167,13,52145098,1,0,0,0,0,13,6,1,13,6,1,".............",".............",".............",".............",0,0,0,"63251201113",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6325120,2,61432948,1,1,1502167,13,52145099,1,0,0,0,0,1,1,2,1,1,2,".............",".............",".............",".............",0,0,0,"63251201113",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6325120,2,61432948,1,1,1502167,13,52145100,1,1,1,1,1,10,3,5,10,3,5,"BCDADBDABAEBA","EABCAECBBDCCA","CDDABEDADADBE","CCDCBEBDACBDC",1,1,0,"63251201113",13,"0.617608",0.349256,284.011092,19.241688,13,0.055174,0.682733,253.048184,38.159537,1,1,4.41,3,13,"B","B","A","C","A","A","A","C","B","B","A","A","B","D","F","A","B","C","B","B","A","B","B","A","B","B","C","B","B","A","D","A","B","A","A","A","B","B","B","A","B","A","A","*","A","A","A","A","C","D","D","A","B","B","C","B","C","C","C","C","B","B","B","A","A","A","C","D","B","A","C","A",1,2,3,2,2,1,3,4,4,1,2,3,2,3,2,2,2,2,3,3,3,4,4,4,2,1,3,4,1,1,0,1,0,0,1,0,0
2023,3,31,6325120,2,61432948,1,1,1502167,13,52145101,1,0,0,0,0,21,7,3,21,7,3,".............",".............",".............",".............",0,0,0,"63251201113",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6325120,2,61432948,1,1,1502167,13,52145102,1,0,0,0,0,17,3,6,17,3,6,".............",".............",".............",".............",0,0,0,"63251201113",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6325120,2,61432948,1,1,1502167,13,52145103,1,0,0,0,0,12,5,7,12,5,7,".............",".............",".............",".............",0,0,0,"63251201113",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6325120,2,61432948,1,1,1502167,13,52145104,1,0,0,0,0,15,1,4,15,1,4,".............",".............",".............",".............",0,0,0,"63251201113",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6325120,2,61432948,1,1,1502167,13,52145105,1,0,0,0,0,13,6,1,13,6,1,".............",".............",".............",".............",0,0,0,"63251201113",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6325120,2,61432948,1,1,1502167,13,52145106,1,0,0,0,0,11,4,6,11,4,6,".............",".............",".............",".............",0,0,0,"63251201113",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6325120,2,61432948,1,1,1502167,13,52145107,1,0,0,0,0,3,3,4,3,3,4,".............",".............",".............",".............",0,0,0,"63251201113",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6325120,2,61432948,1,1,1502167,13,52145108,1,0,0,0,0,11,4,6,11,4,6,".............",".............",".............",".............",0,0,0,"63251201113",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
